stpug_id,min_tt,median_hh_income,pop_density_km2,gwr_intercept,gwr_income_beta,gwr_density_beta,gwr_income_t,gwr_income_significant
547,36.0,23760.0,1873.611602371859,40.438356980288674,11.447878423179947,-13.975042402009212,3.2203793180766653,True
548S,44.0,11240.0,454.9876126084424,39.719681696177204,11.911800593514394,-13.165761055602392,3.2427321165377023,True
610S,40.0,31940.0,256.5013745626942,39.94207203608192,11.21887616029316,-13.572434184009882,3.2791836473078555,True
620S,21.0,17000.0,316.7965501135931,38.53095695292083,12.120211601872352,-12.845484114855623,3.3675874293117314,True
623,41.0,22550.0,3526.599328376814,38.87020930819561,11.93500761550147,-13.092535787577965,3.309202572026273,True
624S,27.0,23100.0,12797.975002471274,38.03354998538315,12.018164000460693,-12.803411467131937,3.376872641437251,True
625,24.0,25040.0,23349.787462278287,38.48495099415973,11.808963583046491,-12.506291317848708,3.405501062157599,True
626,22.0,19200.0,28223.901008554458,38.471008247326864,11.888279878957263,-12.985325772649528,3.3542087494027046,True
627,20.0,20050.0,66739.2298678899,38.575262231203155,11.72730594423576,-12.917080244002264,3.3719474155081572,True
628,22.0,28290.0,49731.60280301847,38.57637976417315,11.551546708806434,-12.394322354007226,3.330168357647826,True
631S,58.0,31250.0,830.5819518406078,40.82923199539607,10.959270965144649,-11.020337519759536,3.1136993021097625,True
634,44.0,21610.0,1268.974020134326,39.58101194843812,12.084675337972296,-12.005327737403654,3.4514814727663596,True
711S,98.0,31480.0,413.36599370911654,46.365060125407155,4.00965663709977,-17.485731235126053,0.9099899724882842,False
720,74.0,55220.0,2490.955846073758,42.99891091338664,7.807154825601437,-9.711052920057902,2.049563809046178,False
722S,41.0,35040.0,4743.811039459992,41.895788124838646,8.908559562451181,-10.675892844758438,2.3039861713813052,False
723,33.0,22950.0,35009.32765133927,43.23073499551326,6.054474820984899,-9.529853853534965,1.4741418109913087,False
725,36.0,50260.0,1668.0850531581132,45.46762537461643,-0.5257694829065644,-9.7448313620821,-0.11037885193586856,False
726,29.0,25750.0,83379.93619639344,42.364259453124475,7.671507485426778,-9.900256047034423,1.9420258281740324,False
729,43.0,57670.0,5890.22242626628,44.59458433238146,-4.57529737446275,-12.871053590762742,-0.8613294226883859,False
732S,62.0,39270.0,4249.051032370559,50.77913301757199,-6.8250981161822395,-7.270893218503401,-1.6742858097546827,False
755,45.0,20110.0,54597.30335690951,58.48397274344115,-1.7342993493682854,-1.9664082866181545,-0.6632807607197724,False
756S,60.0,34040.0,3295.4205585724344,60.83846615831011,-3.4302706954144817,-4.917820903581973,-1.2849223508481546,False
757,71.0,35400.0,25943.157529207856,55.73144252903252,-20.661719858085632,-18.708091968938284,-4.305207097545514,True
758,47.0,23800.0,21252.914741607445,56.15903068954544,-2.752565081378661,-1.1193084963663438,-0.9558688606881083,False
759,52.0,26650.0,35391.447978572134,58.73747514475683,-1.8590428728622928,0.07130708649125594,-0.8065989183458308,False
820,104.0,31290.0,2384.844953150281,78.17334874098006,-0.353774463210236,-8.786319490157137,-0.09124630143842058,False
822,79.0,42040.0,1574.3647576044675,72.89554653339253,-9.159949701537066,-10.852673091939831,-1.8851522518718933,False
825,97.0,31200.0,3969.748806605837,74.69094036124498,-4.486285399850274,-9.659322389796696,-1.0720233702996875,False
826S,81.0,30250.0,15219.99335488849,75.67179824737579,-4.01039511136446,-9.370273347831244,-0.879105107927784,False
827,97.0,32890.0,7593.0732895627,77.27359202712157,-1.3409728205936702,-8.819386120988966,-0.29762948409394996,False
831,86.0,46830.0,2497.6018684491696,83.51122191098989,5.475405687137815,-6.973538367982059,1.2379033169081954,False
835,101.0,26070.0,8697.262237849238,82.75861203482671,5.904592317655265,-5.793210240260038,1.6962890559707964,False
836,79.0,32780.0,27681.31919765569,83.27674081964733,6.249930319664827,-6.678349704571115,1.3926810851359368,False
