from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75
544,HG,56,62,65
544,SB,79,82,87
544,MKT,61,68,76
544,HYW,71,77,83
545,LW,39,42,43
545,LMC,44,47,48
545,HG,57,62,68
545,SB,94,96,100
545,MKT,43,45,48
545,HYW,52,55,57
547,LW,33,36,40
547,LMC,38,41,45
547,HG,54,59,64
547,SB,88,92,96
547,MKT,36,40,43
547,HYW,46,50,53
548S,LW,40,44,53
548S,LMC,45,49,58
548S,HG,59,67,75
548S,SB,94,99,107
548S,MKT,43,47,55
548S,HYW,52,57,64
610S,LW,38,40,43
610S,LMC,43,45,48
610S,HG,58,63,70
610S,SB,92,95,98
610S,MKT,41,44,47
610S,HYW,50,54,56
620S,LW,21,21,21
620S,LMC,49,52,58
620S,HG,71,78,83
620S,SB,102,108,114
620S,MKT,22,28,35
620S,HYW,38,45,51
623,LW,39,41,43
623,LMC,44,46,48
623,HG,58,63,68
623,SB,93,96,99
623,MKT,43,45,47
623,HYW,52,55,57
624S,LW,25,27,28
624S,LMC,30,32,33
624S,HG,48,53,57
624S,SB,80,83,85
624S,MKT,26,29,31
624S,HYW,39,41,43
625,LW,23,24,26
625,LMC,28,29,31
625,HG,46,51,56
625,SB,78,80,83
625,MKT,27,29,30
625,HYW,36,38,39
626,LW,20,22,23
626,LMC,25,27,28
626,HG,37,42,46
626,SB,76,78,80
626,MKT,23,25,27
626,HYW,33,35,37
627,LW,19,20,21
627,LMC,24,25,26
627,HG,39,44,49
627,SB,76,78,81
627,MKT,25,27,29
627,HYW,35,37,39
628,LW,20,22,23
628,LMC,25,27,28
628,HG,44,49,54
628,SB,79,82,85
628,MKT,28,30,32
628,HYW,35,36,39
631S,LW,56,58,61
631S,LMC,61,63,66
631S,MKT,67,69,72
631S,HYW,71,75,79
634,LW,42,44,47
634,LMC,47,49,52
634,HG,66,72,77
634,SB,100,103,105
634,MKT,48,49,53
634,HYW,57,59,62
711S,LW,87,103,115
711S,LMC,92,110,
711S,MKT,98,113,
711S,HYW,98,111,
720,LW,61,79,
720,LMC,66,84,
720,MKT,91,116,
720,HYW,76,101,
722S,LW,39,41,42
722S,LMC,44,46,47
722S,MKT,52,54,55
722S,HYW,52,57,61
723,LW,31,33,34
723,LMC,36,38,39
723,HG,61,66,72
723,SB,97,99,102
723,MKT,43,45,47
723,HYW,40,44,50
725,LW,35,36,37
725,LMC,40,41,42
725,MKT,47,48,50
725,HYW,47,53,57
726,LW,28,29,31
726,LMC,33,34,36
726,HG,58,62,68
726,SB,91,94,97
726,MKT,38,41,42
726,HYW,39,44,48
729,LW,42,44,45
729,LMC,47,49,50
729,SB,110,114,118
729,MKT,53,55,57
729,HYW,52,59,62
732S,LW,60,62,63
732S,LMC,65,67,68
732S,SB,110,114,117
732S,MKT,71,73,75
732S,HYW,80,82,84
755,LW,43,45,46
755,LMC,48,50,51
755,HG,94,97,102
755,SB,90,94,97
755,MKT,54,56,58
755,HYW,63,65,67
756S,LW,58,60,61
756S,LMC,63,65,66
756S,HG,97,102,106
756S,SB,107,111,115
756S,MKT,69,71,73
756S,HYW,73,77,79
757,LW,70,71,72
757,LMC,75,76,77
757,MKT,81,82,83
757,HYW,88,90,92
758,LW,46,47,48
758,LMC,51,52,53
758,HG,75,79,84
758,SB,86,90,95
758,MKT,57,59,60
758,HYW,65,67,69
759,LW,51,52,54
759,LMC,56,57,59
759,HG,102,105,110
759,SB,100,103,106
759,MKT,64,66,67
759,HYW,70,73,75
820,LW,99,104,108
820,LMC,104,110,115
820,HYW,116,,
822,LW,75,79,84
822,LMC,80,84,89
822,MKT,92,97,103
822,HYW,96,100,104
825,LW,94,97,100
825,LMC,99,102,106
825,HYW,110,114,118
826S,LW,79,82,85
826S,LMC,84,87,90
826S,MKT,97,101,107
826S,HYW,99,103,106
827,LW,94,98,101
827,LMC,99,104,108
827,HYW,111,115,119
831,LW,85,86,88
831,LMC,90,91,93
831,HG,113,118,
831,MKT,103,105,107
831,HYW,104,107,110
835,LW,94,100,106
835,LMC,100,105,112
836,LW,77,79,81
836,LMC,82,84,86
836,HG,98,103,109
836,SB,111,114,116
836,MKT,89,91,93
836,HYW,98,99,102
837,LW,83,84,86
837,LMC,88,89,91
837,HG,101,107,115
