stpug_id,stpug_name_en,is_composite,group_size,stpug_name_zh,population,median_hh_income,median_emp_income,area_km2,pop_density_km2,min_tt,nearest_bcp,bcps_within_45,bcps_within_60,bcps_within_75,bcps_within_90
625,625,False,1,625,55738.0,25040.0,18000.0,2.3870881090478897,23349.787462278287,24.0,LW,4,5,5,6
626,626,False,1,626,25651.0,19200.0,15500.0,0.9088396388658453,28223.901008554458,22.0,LW,5,5,5,6
627,627,False,1,627,32985.0,20050.0,15000.0,0.49423704866378754,66739.2298678899,20.0,LW,5,5,5,6
628,628,False,1,628,81560.0,28290.0,18000.0,1.6400034465619455,49731.60280301847,22.0,LW,4,5,5,6
631S,631 and 633,True,2,631 及 633,12811.0,31250.0,20930.0,15.424125183084264,830.5819518406078,58.0,LW,0,1,4,4
634,634,False,1,634,18505.0,21610.0,18000.0,14.58264685201449,1268.9740201343259,44.0,LW,1,4,5,5
711S,"711 - 712, 721 and 728",True,4,"711 - 712, 721 及 728",18318.0,31480.0,20000.0,44.31424035546156,413.36599370911654,98.0,LW,0,0,0,0
720,720,False,1,720,4504.0,55220.0,32000.0,1.808141243089154,2490.955846073758,74.0,LW,0,0,1,3
722S,722 and 727,True,2,722 及 727,49877.0,35040.0,20000.0,10.514120310676985,4743.811039459992,41.0,LW,1,4,4,4
723,723,False,1,723,73312.0,22950.0,18000.0,2.0940704925875795,35009.32765133927,33.0,LW,3,4,5,5
725,725,False,1,725,9473.0,50260.0,24000.0,5.678967017937832,1668.0850531581132,36.0,LW,2,4,4,4
726,726,False,1,726,93287.0,25750.0,18000.0,1.1188183183574454,83379.93619639344,29.0,LW,4,4,5,5
729,729,False,1,729,27614.0,57670.0,34000.0,4.688108190424327,5890.22242626628,43.0,LW,1,4,4,4
732S,"732, 751 and 753",True,3,"732, 751 及 753",59769.0,39270.0,25000.0,14.066434962692053,4249.051032370559,62.0,LW,0,0,3,4
755,755,False,1,755,87222.0,20110.0,16150.0,1.5975514290480373,54597.30335690951,45.0,LW,1,3,4,4
756S,756 and 761 - 762,True,3,756 及 761 - 762,106465.0,34040.0,21250.0,32.30695387969549,3295.4205585724344,60.0,LW,0,1,3,4
757,757,False,1,757,210356.0,35400.0,20330.0,8.108342238726058,25943.157529207856,71.0,LW,0,0,1,4
758,758,False,1,758,47474.0,23800.0,17900.0,2.233764195508618,21252.914741607445,47.0,LW,0,3,4,5
759,759,False,1,759,124439.0,26650.0,18500.0,3.5160754110807217,35391.447978572134,52.0,LW,0,2,4,4
820,820,False,1,820,7066.0,31290.0,25000.0,2.9628760522423514,2384.844953150281,104.0,LW,0,0,0,0
822,822,False,1,822,7203.0,42040.0,28750.0,4.575178633292064,1574.3647576044675,79.0,LW,0,0,0,2
825,825,False,1,825,3779.0,31200.0,19000.0,0.9519494013605035,3969.748806605837,97.0,LW,0,0,0,0
826S,826 and 828,True,2,826 及 828,8300.0,30250.0,19000.0,0.5453353235094636,15219.99335488849,81.0,LW,0,0,0,2
827,827,False,1,827,3873.0,32890.0,20000.0,0.5100701458161553,7593.0732895627,97.0,LW,0,0,0,0
831,831,False,1,831,24466.0,46830.0,26560.0,9.795796643598614,2497.6018684491696,86.0,LW,0,0,0,1
835,835,False,1,835,22205.0,26070.0,16500.0,2.5531022743418066,8697.262237849238,101.0,LW,0,0,0,0
836,836,False,1,836,84616.0,32780.0,20000.0,3.056790732978003,27681.31919765569,79.0,LW,0,0,0,2
837,837,False,1,837,76941.0,34620.0,20000.0,1.2770530833233436,60248.865927931765,84.0,LW,0,0,0,2
838,838,False,1,838,122150.0,40170.0,22000.0,1.432771103936978,85254.37152128168,76.0,LW,0,0,0,2
839,839,False,1,839,47991.0,59070.0,32000.0,6.976437115814718,6879.012768739843,90.0,LW,0,0,0,1
950S,950 - 951,True,2,950 - 951,116029.0,28580.0,18000.0,38.22601123878356,3035.3415446673293,87.0,SB,0,0,0,1
975,975,False,1,975,14409.0,52820.0,33000.0,1.030663364881805,13980.316455366008,89.0,LW,0,0,0,1
