id,lon,lat,snap_lat_1600,snap_lon_1600,distance_1600,found_1600,snap_lat_5000,snap_lon_5000,distance_5000,found_5000,stable_route,classification
351,114.091910603333,22.352755712166,22.3529782,114.0918267,26.1864753380451,TRUE,22.3529782,114.0918267,26.1864753380451,TRUE,TRUE,stable_route
423S,113.965498883355,22.402041947911,22.4019933,113.9661541,67.5376623418307,TRUE,22.4019933,113.9661541,67.5376623418307,TRUE,TRUE,stable_route
424,113.974556398141,22.388212494773,22.3882164,113.974237,32.8230256452623,TRUE,22.3882164,113.974237,32.8230256452623,TRUE,TRUE,stable_route
426,113.997352268387,22.3705413951425,22.3703073,113.9975347,32.0673975211351,TRUE,22.3703073,113.9975347,32.0673975211351,TRUE,TRUE,stable_route
442,113.977403782368,22.4231675449405,22.4231507,113.9772534,15.5618525988833,TRUE,22.4231507,113.9772534,15.5618525988833,TRUE,TRUE,stable_route
510,114.002723020868,22.4620175135088,22.462053,114.0027223,3.94441392332348,TRUE,22.462053,114.0027223,3.94441392332348,TRUE,TRUE,stable_route
511,113.988224263584,22.453163672757,22.4531056,113.9882538,7.13122954219629,TRUE,22.4531056,113.9882538,7.13122954219629,TRUE,TRUE,stable_route
512,113.988636980177,22.435850549427,22.4358397,113.988634,1.2439839679387,TRUE,22.4358397,113.988634,1.2439839679387,TRUE,TRUE,stable_route
514,113.998275363308,22.4766846541525,22.4769984,113.9987094,56.5894227145928,TRUE,22.4769984,113.9987094,56.5894227145928,TRUE,TRUE,stable_route
515,113.999799591425,22.4407905551657,22.4407946,113.9998219,2.33515203642866,TRUE,22.4407946,113.9998219,2.33515203642866,TRUE,TRUE,stable_route
517,114.013662221195,22.4519209457478,22.4519204,114.0138618,20.4986542644005,TRUE,22.4519204,114.0138618,20.4986542644005,TRUE,TRUE,stable_route
518,114.018631288178,22.4326417402131,22.4325595,114.0184256,23.0210059706617,TRUE,22.4325595,114.0184256,23.0210059706617,TRUE,TRUE,stable_route
519,114.007232342979,22.4303537077629,22.4301823,114.0076039,42.6577310020938,TRUE,22.4301823,114.0076039,42.6577310020938,TRUE,TRUE,stable_route
521,114.065666270344,22.4438163070924,22.4438576,114.0657524,9.96619929830808,TRUE,22.4438576,114.0657524,9.96619929830808,TRUE,TRUE,stable_route
522,114.035229235305,22.4168568351222,22.4163403,114.0350182,61.3619121694686,TRUE,22.4163403,114.0350182,61.3619121694686,TRUE,TRUE,stable_route
523,114.039824791271,22.4351474417947,22.4352072,114.0399205,11.8642181389731,TRUE,22.4352072,114.0399205,11.8642181389731,TRUE,TRUE,stable_route
524,114.033312602082,22.4465206926769,22.4462687,114.0332836,28.1626829738611,TRUE,22.4462687,114.0332836,28.1626829738611,TRUE,TRUE,stable_route
525,114.043144424279,22.4519789009026,22.4519718,114.0431848,4.22137075338215,TRUE,22.4519718,114.0431848,4.22137075338215,TRUE,TRUE,stable_route
526,114.060474908067,22.4473257908169,22.4473267,114.060469,0.615186807706296,TRUE,22.4473267,114.060469,0.615186807706296,TRUE,TRUE,stable_route
527,114.021571257455,22.4428441246415,22.4428408,114.0220105,45.1186838027224,TRUE,22.4428408,114.0220105,45.1186838027224,TRUE,TRUE,stable_route
528,114.026640340793,22.4596243407065,22.4600182,114.0267075,44.3108771233375,TRUE,22.4600182,114.0267075,44.3108771233375,TRUE,TRUE,stable_route
529,114.031269952568,22.4375563471176,22.437521,114.0311992,8.26137272854844,TRUE,22.437521,114.0311992,8.26137272854844,TRUE,TRUE,stable_route
531,114.076579113197,22.41611214903,22.416048,114.076583,7.14024646328042,TRUE,22.416048,114.076583,7.14024646328042,TRUE,TRUE,stable_route
532,114.092339958441,22.4509502106211,22.4507358,114.0923437,23.8311872987162,TRUE,22.4507358,114.0923437,23.8311872987162,TRUE,TRUE,stable_route
533,114.105007310032,22.4224340991147,22.4223858,114.1049002,12.2429077167651,TRUE,22.4223858,114.1049002,12.2429077167651,TRUE,TRUE,stable_route
541,114.042461711552,22.4700892339104,22.469885,114.0420661,46.5377566519402,TRUE,22.469885,114.0420661,46.5377566519402,TRUE,TRUE,stable_route
543S,114.079145144928,22.489574777044,22.4895713,114.079145,0.386700663677887,TRUE,22.4895713,114.079145,0.386700663677887,TRUE,TRUE,stable_route
544,114.068796957898,22.4714355470367,22.4709619,114.0684097,65.9722839808453,TRUE,22.4709619,114.0684097,65.9722839808453,TRUE,TRUE,stable_route
