from_id,to_id,travel_time_p25,travel_time_p50,travel_time_p75,runs_present_p50,p50_run_sd,p50_run_range
298,HYW,92.0,93.0,94.0,5,0.0,0.0
298,LMC,76.0,76.0,78.0,5,0.0,0.0
298,LW,71.0,71.0,73.0,5,0.0,0.0
298,MKT,83.0,84.0,85.0,5,0.0,0.0
298,SB,106.0,109.0,112.0,5,0.4472135954999579,1.0
320S,HG,94.0,96.0,99.0,5,0.5477225575051661,1.0
320S,HYW,101.0,103.0,107.0,5,0.5477225575051661,1.0
320S,LMC,77.0,78.0,80.0,5,0.0,0.0
320S,LW,72.0,73.0,75.0,5,0.0,0.0
320S,MKT,102.0,105.0,108.0,5,0.5477225575051661,1.0
320S,SB,90.0,93.0,96.0,5,0.4472135954999579,1.0
322,HG,71.0,75.0,79.0,5,0.8366600265340756,2.0
322,HYW,87.0,91.0,95.0,5,0.5477225575051661,1.0
322,LMC,80.0,83.0,86.0,5,0.0,0.0
322,LW,75.0,78.0,81.0,5,0.0,0.0
322,MKT,95.0,99.0,102.0,5,0.5477225575051661,1.0
322,SB,77.0,81.0,83.0,5,0.0,0.0
323,HG,70.0,74.0,77.0,5,0.5477225575051661,1.0
323,HYW,81.0,85.0,89.0,5,0.4472135954999579,1.0
323,LMC,76.0,77.0,79.0,5,0.5477225575051661,1.0
323,LW,71.0,72.0,74.0,5,0.5477225575051661,1.0
323,MKT,82.0,85.0,89.0,5,0.8366600265340756,2.0
323,SB,71.0,73.0,75.0,5,0.7071067811865476,2.0
325,HG,81.0,84.0,88.0,5,0.5477225575051661,1.0
325,HYW,88.0,91.0,94.0,5,0.4472135954999579,1.0
325,LMC,78.0,79.0,80.0,5,0.4472135954999579,1.0
325,LW,73.0,74.0,75.0,5,0.4472135954999579,1.0
325,MKT,85.0,87.0,88.0,5,0.0,0.0
325,SB,82.0,84.0,86.0,5,0.4472135954999579,1.0
326,HG,80.0,82.0,84.0,5,0.5477225575051661,1.0
326,HYW,87.0,90.0,92.0,5,0.5477225575051661,1.0
326,LMC,70.0,71.0,73.0,5,0.0,0.0
326,LW,65.0,66.0,68.0,5,0.0,0.0
326,MKT,83.0,84.0,86.0,5,0.0,0.0
326,SB,79.0,81.0,83.0,5,0.4472135954999579,1.0
327,HG,92.0,95.0,98.0,5,0.0,0.0
327,HYW,88.0,90.0,92.0,5,0.5477225575051661,1.0
327,LMC,74.0,76.0,78.0,5,0.0,0.0
327,LW,69.0,71.0,73.0,5,0.0,0.0
327,MKT,81.0,82.0,84.0,5,0.0,0.0
327,SB,89.0,91.0,94.0,5,0.5477225575051661,1.0
328,HG,85.0,89.0,93.0,5,0.8366600265340756,2.0
328,HYW,94.0,96.0,100.0,5,0.5477225575051661,1.0
328,LMC,78.0,80.0,81.0,5,0.5477225575051661,1.0
328,LW,73.0,75.0,76.0,5,0.5477225575051661,1.0
328,MKT,94.0,97.0,100.0,5,1.140175425099138,3.0
328,SB,82.0,85.0,88.0,5,0.4472135954999579,1.0
335,HG,89.0,92.0,95.0,5,0.7071067811865476,2.0
335,HYW,98.0,102.0,106.0,5,1.0,2.0
335,LMC,97.0,99.0,102.0,5,0.4472135954999579,1.0
335,LW,92.0,94.0,96.0,5,0.4472135954999579,1.0
335,MKT,108.0,111.0,114.0,5,0.4472135954999579,1.0
335,SB,75.0,79.0,85.0,5,0.4472135954999579,1.0
350,HG,108.0,111.0,114.0,5,0.7071067811865476,2.0
350,HYW,108.0,111.0,113.0,5,0.5477225575051661,1.0
350,LMC,85.0,87.0,88.0,5,0.0,0.0
350,LW,80.0,82.0,83.0,5,0.0,0.0
350,MKT,101.0,104.0,108.0,5,0.5477225575051661,1.0
350,SB,96.0,99.0,103.0,5,0.5477225575051661,1.0
351,HG,94.0,97.0,100.0,5,0.4472135954999579,1.0
351,HYW,100.0,103.0,106.0,5,0.4472135954999579,1.0
351,LMC,91.0,93.0,94.0,5,0.0,0.0
351,LW,86.0,88.0,89.0,5,0.0,0.0
351,MKT,92.0,95.0,98.0,5,0.4472135954999579,1.0
351,SB,94.0,96.0,99.0,5,0.5477225575051661,1.0
423S,HG,62.0,69.0,73.0,5,1.0954451150103321,3.0
423S,HYW,68.0,69.0,72.0,5,0.5477225575051661,1.0
423S,LMC,61.0,63.0,64.0,5,0.0,0.0
423S,LW,56.0,58.0,59.0,5,0.0,0.0
423S,MKT,59.0,60.0,63.0,5,0.4472135954999579,1.0
423S,SB,39.0,42.0,45.0,5,0.4472135954999579,1.0
424,HG,59.0,67.0,70.0,5,0.4472135954999579,1.0
424,HYW,67.0,69.0,71.0,5,0.0,0.0
424,LMC,61.0,62.0,63.0,5,0.0,0.0
424,LW,56.0,57.0,58.0,5,0.0,0.0
424,MKT,58.0,60.0,62.0,5,0.4472135954999579,1.0
424,SB,32.0,34.0,37.0,5,0.4472135954999579,1.0
426,HG,76.0,82.0,87.0,5,0.8366600265340756,2.0
426,HYW,83.0,86.0,88.0,5,0.5477225575051661,1.0
426,LMC,78.0,80.0,82.0,5,0.0,0.0
426,LW,73.0,75.0,77.0,5,0.0,0.0
426,MKT,75.0,77.0,80.0,5,0.8366600265340756,2.0
426,SB,48.0,50.0,53.0,5,0.5477225575051661,1.0
442,HG,78.0,82.0,86.0,5,0.7071067811865476,2.0
442,HYW,86.0,91.0,96.0,5,1.0954451150103321,3.0
442,LMC,93.0,98.0,104.0,5,0.5477225575051661,1.0
442,LW,88.0,93.0,98.0,5,0.4472135954999579,1.0
442,MKT,93.0,97.0,102.0,5,0.4472135954999579,1.0
442,SB,59.0,63.0,67.0,5,0.4472135954999579,1.0
510,HG,55.0,59.0,63.0,5,0.8944271909999159,2.0
510,HYW,68.0,72.0,76.0,5,0.8366600265340756,2.0
510,LMC,66.0,69.0,72.0,5,0.8366600265340756,2.0
510,LW,61.0,64.0,67.0,5,0.8366600265340756,2.0
510,MKT,67.0,70.0,72.0,5,0.5477225575051661,1.0
510,SB,36.0,39.0,42.0,5,0.4472135954999579,1.0
511,HG,74.0,77.0,81.0,5,0.4472135954999579,1.0
511,HYW,84.0,89.0,93.0,5,0.4472135954999579,1.0
511,LMC,87.0,90.0,94.0,5,0.8944271909999159,2.0
511,LW,82.0,85.0,89.0,5,0.8944271909999159,2.0
511,MKT,87.0,91.0,94.0,5,0.8366600265340756,2.0
511,SB,44.0,47.0,51.0,5,0.4472135954999579,1.0
512,HG,66.0,69.0,73.0,5,0.4472135954999579,1.0
512,HYW,75.0,79.0,83.0,5,0.8366600265340756,2.0
512,LMC,77.0,80.0,83.0,5,0.4472135954999579,1.0
512,LW,72.0,75.0,78.0,5,0.4472135954999579,1.0
512,MKT,77.0,79.0,82.0,5,0.5477225575051661,1.0
512,SB,48.0,51.0,54.0,5,0.4472135954999579,1.0
514,HG,73.0,76.0,80.0,5,0.5477225575051661,1.0
514,HYW,82.0,86.0,91.0,5,0.5477225575051661,1.0
514,LMC,88.0,91.0,96.0,5,0.5477225575051661,1.0
514,LW,83.0,86.0,91.0,5,0.5477225575051661,1.0
514,MKT,89.0,92.0,95.0,5,0.5477225575051661,1.0
514,SB,56.0,60.0,65.0,5,0.5477225575051661,1.0
515,HG,61.0,63.0,66.0,5,0.4472135954999579,1.0
515,HYW,69.0,74.0,79.0,5,0.7071067811865476,2.0
515,LMC,72.0,75.0,77.0,5,0.5477225575051661,1.0
515,LW,67.0,70.0,72.0,5,0.5477225575051661,1.0
515,MKT,73.0,75.0,77.0,5,0.4472135954999579,1.0
515,SB,43.0,46.0,49.0,5,0.4472135954999579,1.0
