area_id,lon,lat,min_tt_6,gateways_60_6,hsr_runs_present,hsr_p50,hsr_run_sd,hsr_run_range,min_tt_7,gateways_60_7,stable_6,stable_7,hsr_is_nearest,time_reduction
328,114.132297574353,22.3501069798303,74.0,0.0,5.0,39.0,0.547722557505166,1.0,39.0,1.0,True,True,True,35.0
329,114.116616234885,22.3590276084559,71.0,0.0,5.0,44.0,0.547722557505166,1.0,44.0,1.0,True,True,True,27.0
331,114.096310524045,22.3894816477004,,,,,,,,0.0,False,False,False,
332,114.080036063312,22.3785322358663,,,,,,,,0.0,False,False,False,
333,114.078547401159,22.3925533208566,,,,,,,,0.0,False,False,False,
334,114.078953761487,22.3692899444228,85.0,0.0,5.0,61.0,0.44721359549995765,1.0,61.0,0.0,True,True,True,24.0
335,114.06292915763,22.3698454643885,79.0,0.0,5.0,59.0,0.547722557505166,1.0,59.0,1.0,True,True,True,20.0
336,114.042380120715,22.3623553343624,66.0,0.0,5.0,58.0,0.44721359549995865,1.0,58.0,1.0,True,True,True,8.0
340,114.051389449972,22.3762752957149,,,,,,,,0.0,False,False,False,
350,114.104347705864,22.3402869388419,82.0,0.0,5.0,54.0,0.44721359549995815,1.0,54.0,1.0,True,True,True,28.0
351,114.091910603333,22.352755712166,88.0,0.0,5.0,56.0,0.0,0.0,56.0,1.0,True,True,True,32.0
411,114.020766220737,22.395751462092,,,,,,,,0.0,False,False,False,
412,114.055382290722,22.405790222645,,,,,,,,0.0,False,False,False,
413,114.03238066462,22.3857237133952,,,,,,,,0.0,False,False,False,
414,114.001604688511,22.4022641141328,,,,,,,,0.0,False,False,False,
415,113.990617565467,22.394463911488,,,,,,,,0.0,False,False,False,
416,114.016680415937,22.4041645235187,,,,,,,,0.0,False,False,False,
421,113.931416558609,22.371532377113,66.0,0.0,5.0,90.0,0.8944271909999163,2.0,66.0,0.0,True,True,False,0.0
422,113.956418583078,22.3781242329263,,,,,,,,0.0,False,False,False,
423,113.967263090038,22.401731980785,40.0,4.0,5.0,60.0,0.44721359549995865,1.0,40.0,5.0,True,True,False,0.0
424,113.974556398141,22.388212494773,35.0,3.0,5.0,59.0,0.0,0.0,35.0,4.0,True,True,False,0.0
425,113.982562098875,22.3986722013916,,,,,,,,0.0,False,False,False,
426,113.997352268387,22.3705413951425,51.0,1.0,5.0,63.0,0.0,0.0,51.0,1.0,True,True,False,0.0
427,114.014167297546,22.3705097440274,63.0,0.0,5.0,69.0,0.0,0.0,63.0,0.0,True,True,False,0.0
428,113.955675455005,22.4037675240848,55.0,1.0,5.0,77.0,0.0,0.0,55.0,1.0,True,True,False,0.0
431,113.933575790114,22.4162736486988,,,,,,,,0.0,False,False,False,
432,113.932267902894,22.396512364586,,,,,,,,0.0,False,False,False,
433,113.959540757227,22.4243706429484,,,,,,,,0.0,False,False,False,
434,113.887010828039,22.3523189564629,,,,,,,,0.0,False,False,False,
441,113.994057425594,22.4191282664562,,,,,,,,0.0,False,False,False,
442,113.977403782368,22.4231675449405,63.0,0.0,5.0,83.0,0.5477225575051667,1.0,63.0,0.0,True,True,False,0.0
510,114.002723020868,22.4620175135088,39.0,2.0,5.0,50.0,0.0,0.0,39.0,3.0,True,True,False,0.0
511,113.988224263584,22.453163672757,47.0,1.0,5.0,78.0,0.44721359549995715,1.0,47.0,1.0,True,True,False,0.0
512,113.988636980177,22.435850549427,51.0,1.0,5.0,71.0,0.5477225575051667,1.0,51.0,1.0,True,True,False,0.0
513,113.966445089438,22.4422037471051,,,,,,,,0.0,False,False,False,
514,113.998275363308,22.4766846541525,60.0,1.0,5.0,77.0,0.0,0.0,60.0,1.0,True,True,False,0.0
515,113.999799591425,22.4407905551657,45.0,1.0,5.0,64.0,0.0,0.0,45.0,1.0,True,True,False,0.0
516,114.020108383035,22.4707270832577,,,,,,,,0.0,False,False,False,
517,114.013662221195,22.4519209457478,57.0,1.0,5.0,68.0,0.0,0.0,57.0,1.0,True,True,False,0.0
518,114.018631288178,22.4326417402131,61.0,0.0,5.0,62.0,0.547722557505166,1.0,61.0,0.0,True,True,False,0.0
519,114.007232342979,22.4303537077629,59.0,1.0,5.0,61.0,0.44721359549995765,1.0,59.0,1.0,True,True,False,0.0
521,114.065666270344,22.4438163070924,62.0,0.0,5.0,57.0,0.547722557505166,1.0,57.0,1.0,True,True,True,5.0
522,114.035229235305,22.4168568351222,82.0,0.0,5.0,84.0,0.5477225575051667,1.0,82.0,0.0,True,True,False,0.0
523,114.039824791271,22.4351474417947,79.0,0.0,5.0,76.0,1.3038404810405302,3.0,76.0,0.0,True,True,True,3.0
524,114.033312602082,22.4465206926769,43.0,5.0,5.0,42.0,0.0,0.0,42.0,6.0,True,True,True,1.0
525,114.043144424279,22.4519789009026,57.0,1.0,5.0,63.0,0.0,0.0,57.0,1.0,True,True,False,0.0
526,114.060474908067,22.4473257908169,62.0,0.0,5.0,60.0,0.7071067811865476,2.0,60.0,1.0,True,True,True,2.0
527,114.021571257455,22.4428441246415,47.0,3.0,5.0,50.0,0.0,0.0,47.0,4.0,True,True,False,0.0
528,114.026640340793,22.4596243407065,67.0,0.0,5.0,64.0,0.7071067811865478,2.0,64.0,0.0,True,True,True,3.0
529,114.031269952568,22.4375563471176,54.0,2.0,5.0,55.0,0.547722557505166,1.0,54.0,3.0,True,True,False,0.0
531,114.076579113197,22.41611214903,79.0,0.0,5.0,73.0,0.44721359549995715,1.0,73.0,0.0,True,True,True,6.0
532,114.092339958441,22.4509502106211,62.0,0.0,5.0,76.0,0.7071067811865469,2.0,62.0,0.0,True,True,False,0.0
533,114.105007310032,22.4224340991147,80.0,0.0,5.0,72.0,0.0,0.0,72.0,0.0,True,True,True,8.0
541,114.042461711552,22.4700892339104,55.0,1.0,5.0,73.0,0.44721359549995715,1.0,55.0,1.0,True,True,False,0.0
542,114.059487360616,22.4996467323703,,,,,,,,0.0,False,False,False,
543,114.077228904408,22.4886007709797,43.0,1.0,5.0,79.0,0.5477225575051643,1.0,43.0,1.0,True,True,False,0.0
544,114.068796957898,22.4714355470367,61.0,0.0,5.0,78.0,0.44721359549995715,1.0,61.0,0.0,True,True,False,0.0
545,114.098137910864,22.5078933488217,41.0,4.0,5.0,98.0,0.44721359549995715,1.0,41.0,4.0,True,True,False,0.0
546,114.09455339065,22.497405309953,51.0,4.0,5.0,106.0,0.5477225575051667,1.0,51.0,4.0,True,True,False,0.0
547,114.102081584245,22.4835277950175,36.0,5.0,5.0,92.0,0.8366600265340772,2.0,36.0,5.0,True,True,False,0.0
548,114.105371176049,22.5119587947211,41.0,4.0,5.0,98.0,0.0,0.0,41.0,4.0,True,True,False,0.0
549,114.095149932102,22.5129457376641,42.0,4.0,5.0,99.0,1.140175425099136,3.0,42.0,4.0,True,True,False,0.0
610,114.110840737992,22.4608213177065,,,,,,,,0.0,False,False,False,
620,114.079165499523,22.5214426352059,,,,,,,,0.0,False,False,False,
621,114.117975191559,22.490262619684,33.0,5.0,5.0,86.0,0.44721359549995715,1.0,33.0,5.0,True,True,False,0.0
622,114.09763623758,22.5268113584704,52.0,3.0,5.0,111.0,1.3038404810405295,3.0,52.0,3.0,True,True,False,0.0
623,114.11271367799,22.5089425129323,41.0,4.0,5.0,97.0,0.5477225575051643,1.0,41.0,4.0,True,True,False,0.0
624,114.127789849023,22.5093004550954,21.0,5.0,5.0,75.0,0.0,0.0,21.0,5.0,True,True,False,0.0
625,114.141633276116,22.4980902290049,24.0,5.0,5.0,72.0,0.5477225575051667,1.0,24.0,5.0,True,True,False,0.0
626,114.121293904847,22.5044919026358,22.0,5.0,5.0,71.0,0.547722557505166,1.0,22.0,5.0,True,True,False,0.0
627,114.12611479907,22.496260625459,20.0,5.0,5.0,69.0,0.5477225575051667,1.0,20.0,5.0,True,True,False,0.0
628,114.139703183279,22.487419203607,21.0,5.0,5.0,64.0,0.5477225575051667,1.0,21.0,5.0,True,True,False,0.0
629,114.130673077524,22.5154453161722,36.0,4.0,5.0,98.0,1.0,2.0,36.0,4.0,True,True,False,0.0
631,114.150003860779,22.4748461720104,41.0,4.0,5.0,83.0,0.44721359549995715,1.0,41.0,4.0,True,True,False,0.0
632,114.123785485356,22.4766102220468,,,,,,,,0.0,False,False,False,
633,114.187025045027,22.4855434084622,,,,,,,,0.0,False,False,False,
634,114.166857981724,22.5037948532262,44.0,4.0,5.0,101.0,0.44721359549995915,1.0,44.0,4.0,True,True,False,0.0
641,114.137165631868,22.5283456520053,,,,,,,,0.0,False,False,False,
642,114.163567062504,22.542795528706,,,,,,,,0.0,False,False,False,
651,114.184666609937,22.5430772078679,,,,,,,,0.0,False,False,False,
652,114.204398719484,22.5225717645431,,,,,,,,0.0,False,False,False,
653,114.273586639267,22.5198878948394,,,,,,,,0.0,False,False,False,
711,114.265747183148,22.4846411569778,,,,,,,,0.0,False,False,False,
712,114.229472171852,22.4958805591111,,,,,,,,0.0,False,False,False,
720,114.150906402002,22.4478776435033,,,0.0,,,,,0.0,False,False,False,
721,114.214004200554,22.4810326549126,,,,,,,,0.0,False,False,False,
722,114.17830581405,22.465703120602,45.0,3.0,5.0,79.0,0.44721359549995915,1.0,45.0,3.0,True,True,False,0.0
723,114.166089863833,22.445835672764,33.0,4.0,5.0,58.0,0.0,0.0,33.0,5.0,True,True,False,0.0
724,114.143477777939,22.4352168502326,,,,,,,,0.0,False,False,False,
725,114.162978439673,22.4304964647116,36.0,4.0,5.0,69.0,0.44721359549995815,1.0,36.0,4.0,True,True,False,0.0
726,114.168967599217,22.4528778019438,29.0,4.0,5.0,61.0,0.44721359549995715,1.0,29.0,4.0,True,True,False,0.0
727,114.187787008434,22.456153377376,46.0,3.0,5.0,81.0,0.0,0.0,46.0,3.0,True,True,False,0.0
728,114.206581833929,22.4636747738817,43.0,4.0,5.0,78.0,0.44721359549995715,1.0,43.0,4.0,True,True,False,0.0
729,114.192567055814,22.4330521034942,44.0,4.0,5.0,65.0,0.5477225575051667,1.0,44.0,4.0,True,True,False,0.0
731,114.158939076865,22.3970362393462,,,,,,,,0.0,False,False,False,
732,114.179239294162,22.407285733747,,,,,,,,0.0,False,False,False,
733,114.161049359274,22.379969936023,,,,,,,,0.0,False,False,False,
741,114.286252698347,22.4309663216377,,,,,,,,0.0,False,False,False,
742,114.338259974893,22.4427622675875,,,,,,,,0.0,False,False,False,
743,114.431446013773,22.5440114459345,,,,,,,,0.0,False,False,False,
744,114.257963917029,22.4026359261682,,,,,,,,0.0,False,False,False,
751,114.192959991085,22.4244406684761,57.0,1.0,5.0,77.0,0.0,0.0,57.0,1.0,True,True,False,0.0
753,114.200300996023,22.4063787454118,60.0,1.0,5.0,65.0,0.5477225575051652,1.0,60.0,1.0,True,True,False,0.0
754,114.170534286284,22.3764450486204,50.0,2.0,5.0,44.0,0.8366600265340751,2.0,44.0,3.0,True,True,True,6.0
755,114.196163354627,22.3777000230396,45.0,3.0,5.0,41.0,0.44721359549995865,1.0,41.0,4.0,True,True,True,4.0
756,114.212842923518,22.3882981554477,57.0,1.0,5.0,56.0,0.44721359549995715,1.0,56.0,2.0,True,True,True,1.0
757,114.237716463828,22.4169953575417,71.0,0.0,5.0,68.0,0.5477225575051667,1.0,68.0,0.0,True,True,True,3.0
