"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"522","WKS",81,84,88,2
"523","WKS",68,76,83,2
"524","WKS",40,42,44,2
"525","WKS",61,63,65,2
"526","WKS",58,61,64,2
"527","WKS",48,50,51,2
"528","WKS",59,63,69,2
"529","WKS",52,55,57,2
"531","WKS",70,72,75,2
"532","WKS",71,75,81,2
"533","WKS",69,72,76,2
"541","WKS",70,72,75,2
"543","WKS",73,78,85,2
"544","WKS",76,78,81,2
"545","WKS",95,98,101,2
"546","WKS",103,105,109,2
"547","WKS",89,91,96,2
"548","WKS",96,98,100,2
"549","WKS",94,100,109,2
"621","WKS",81,85,87,2
"622","WKS",105,112,,2
"623","WKS",95,97,99,2
"624","WKS",74,75,77,2
"625","WKS",71,73,74,2
"626","WKS",69,71,72,2
"627","WKS",67,68,70,2
"628","WKS",63,65,66,2
"629","WKS",95,99,102,2
"631","WKS",80,83,85,2
"634","WKS",99,101,104,2
"720","WKS",102,,,2
"722","WKS",77,79,81,2
"723","WKS",57,58,60,2
"725","WKS",67,69,70,2
"726","WKS",60,61,63,2
"727","WKS",79,81,83,2
"728","WKS",76,78,80,2
"729","WKS",63,65,68,2
"751","WKS",74,77,81,2
"753","WKS",62,65,68,2
"754","WKS",40,44,46,2
"755","WKS",37,40,43,2
"756","WKS",54,56,58,2
"757","WKS",66,68,69,2
"758","WKS",43,44,46,2
"759","WKS",41,44,47,2
"811","WKS",104,113,,2
"820","WKS",63,67,71,2
"822","WKS",78,81,85,2
"825","WKS",68,71,74,2
"826","WKS",56,58,60,2
"827","WKS",68,70,73,2
"828","WKS",59,62,63,2
"831","WKS",53,55,57,2
"832","WKS",65,68,72,2
"835","WKS",61,66,70,2
"836","WKS",42,45,48,2
"837","WKS",51,53,55,2
"838","WKS",45,47,49,2
"839","WKS",51,54,58,2
"912","WKS",82,87,91,2
"920","WKS",97,100,105,2
"951","WKS",102,104,106,2
"971","WKS",82,87,95,2
"972","WKS",91,97,101,2
"973","WKS",90,110,,2
"975","WKS",51,54,56,2
"111","WKS",42,44,45,3
"112","WKS",28,30,31,3
"113","WKS",27,29,31,3
"114","WKS",27,28,30,3
"115","WKS",27,28,30,3
"116","WKS",33,34,35,3
"121","WKS",20,21,23,3
"122","WKS",26,28,29,3
"123","WKS",21,22,23,3
"124","WKS",18,19,20,3
"131","WKS",26,26,27,3
"132","WKS",29,30,32,3
"133","WKS",29,30,31,3
"134","WKS",27,28,29,3
"135","WKS",31,32,33,3
"140","WKS",38,41,43,3
"141","WKS",42,44,46,3
"142","WKS",28,29,31,3
"143","WKS",30,32,33,3
"144","WKS",40,41,42,3
"145","WKS",42,44,45,3
"146","WKS",26,27,28,3
"147","WKS",32,33,33,3
"148","WKS",40,42,44,3
"149","WKS",39,42,45,3
"151","WKS",34,35,36,3
"152","WKS",43,46,48,3
"153","WKS",27,32,35,3
"154","WKS",39,42,46,3
"155","WKS",34,35,36,3
"156","WKS",50,53,57,3
"157","WKS",34,36,39,3
"161","WKS",40,41,41,3
"162","WKS",57,58,60,3
"163","WKS",51,52,54,3
"164","WKS",57,59,61,3
"165","WKS",47,49,52,3
"166","WKS",49,51,53,3
"167","WKS",71,,,3
"171","WKS",45,47,49,3
"172","WKS",40,43,45,3
"173","WKS",61,63,65,3
"174","WKS",43,44,46,3
