"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"627","HYW",34,37,39,11
"728","LW",42,43,44,11
"728","LMC",47,48,49,11
"728","MKT",53,55,57,11
"728","HYW",53,58,61,11
"835","LW",94,99,104,11
"835","LMC",99,106,111,11
"838","LW",75,76,78,11
"838","LMC",80,81,83,11
"838","HG",104,109,115,11
"838","MKT",95,96,97,11
"838","HYW",103,105,106,11
"971","SB",108,112,117,11
"284","LW",57,58,59,12
"284","LMC",62,63,64,12
"284","HG",90,94,97,12
"284","SB",96,98,100,12
"284","MKT",67,68,69,12
"284","HYW",76,77,79,12
"421","LW",84,88,94,12
"421","LMC",89,93,100,12
"421","HG",90,97,104,12
"421","SB",62,68,74,12
"421","MKT",86,90,96,12
"421","HYW",94,99,105,12
"622","LW",47,52,62,12
"622","LMC",52,57,67,12
"622","HG",67,75,86,12
"622","SB",102,108,119,12
"622","MKT",49,55,66,12
"622","HYW",59,65,75,12
"627","LW",19,20,22,12
"627","LMC",24,25,27,12
"627","HG",38,44,48,12
"627","SB",76,79,81,12
"627","MKT",25,27,29,12
"627","HYW",35,37,39,12
"728","LW",42,43,45,12
"728","LMC",47,48,50,12
"728","MKT",54,55,57,12
"728","HYW",55,59,63,12
"835","LW",94,98,104,12
"835","LMC",99,104,111,12
"838","LW",75,76,77,12
"838","LMC",80,81,82,12
"838","HG",104,111,117,12
"838","MKT",94,95,97,12
"838","HYW",103,104,106,12
"971","SB",107,112,117,12
"284","LW",57,58,59,13
"284","LMC",62,63,64,13
"284","HG",92,94,97,13
"284","SB",96,98,100,13
"284","MKT",67,68,70,13
"284","HYW",76,78,79,13
"421","LW",83,87,92,13
"421","LMC",88,92,97,13
"421","HG",88,95,102,13
"421","SB",62,66,72,13
"421","MKT",85,89,94,13
"421","HYW",94,98,103,13
"622","LW",47,57,66,13
"622","LMC",52,62,71,13
"622","HG",69,78,89,13
"622","SB",102,112,,13
"622","MKT",50,59,68,13
"622","HYW",60,69,77,13
"627","LW",19,20,21,13
"627","LMC",24,25,26,13
"627","HG",38,44,49,13
"627","SB",76,78,81,13
"627","MKT",25,26,29,13
"627","HYW",34,36,38,13
"728","LW",42,43,44,13
"728","LMC",47,48,49,13
"728","MKT",53,55,56,13
"728","HYW",54,60,63,13
"835","LW",93,100,105,13
"835","LMC",98,105,111,13
