"from_id","to_id","travel_time_p25","travel_time_p50","travel_time_p75","run"
"971","SB",107,113,119,8
"284","LW",57,58,59,9
"284","LMC",62,63,64,9
"284","HG",91,95,98,9
"284","SB",96,98,101,9
"284","MKT",67,69,70,9
"284","HYW",77,78,79,9
"421","LW",84,89,94,9
"421","LMC",89,94,99,9
"421","HG",90,97,103,9
"421","SB",63,68,73,9
"421","MKT",86,90,95,9
"421","HYW",95,99,104,9
"622","LW",47,54,65,9
"622","LMC",52,59,70,9
"622","HG",68,77,87,9
"622","SB",102,110,,9
"622","MKT",51,57,67,9
"622","HYW",60,66,76,9
"627","LW",19,20,22,9
"627","LMC",24,25,27,9
"627","HG",38,43,48,9
"627","SB",75,77,80,9
"627","MKT",25,27,29,9
"627","HYW",34,37,39,9
"728","LW",42,43,45,9
"728","LMC",47,48,50,9
"728","MKT",53,55,56,9
"728","HYW",54,59,63,9
"835","LW",94,99,105,9
"835","LMC",99,105,111,9
"838","LW",75,76,77,9
"838","LMC",80,81,82,9
"838","HG",106,111,117,9
"838","MKT",95,96,97,9
"838","HYW",103,104,106,9
"971","SB",105,112,117,9
"284","LW",57,58,59,10
"284","LMC",62,63,64,10
"284","HG",92,95,98,10
"284","SB",96,98,100,10
"284","MKT",67,68,70,10
"284","HYW",76,78,79,10
"421","LW",84,88,94,10
"421","LMC",89,93,100,10
"421","HG",87,94,102,10
"421","SB",64,67,72,10
"421","MKT",86,90,95,10
"421","HYW",95,99,104,10
"622","LW",47,53,65,10
"622","LMC",52,58,70,10
"622","HG",66,75,86,10
"622","SB",102,109,,10
"622","MKT",50,56,68,10
"622","HYW",59,66,77,10
"627","LW",19,20,21,10
"627","LMC",24,25,26,10
"627","HG",39,44,49,10
"627","SB",76,78,80,10
"627","MKT",25,26,29,10
"627","HYW",34,36,39,10
"728","LW",42,43,45,10
"728","LMC",47,48,50,10
"728","MKT",53,55,57,10
"728","HYW",56,60,63,10
"835","LW",95,99,104,10
"835","LMC",101,106,110,10
"838","LW",75,76,77,10
"838","LMC",80,81,82,10
"838","HG",106,110,117,10
"838","MKT",94,95,97,10
"838","HYW",103,104,106,10
"971","SB",107,112,118,10
"284","LW",57,58,59,11
"284","LMC",62,63,64,11
"284","HG",91,95,98,11
"284","SB",96,98,100,11
"284","MKT",67,68,70,11
"284","HYW",76,78,79,11
"421","LW",84,87,92,11
"421","LMC",89,92,97,11
"421","HG",90,97,103,11
"421","SB",63,67,71,11
"421","MKT",86,89,93,11
"421","HYW",95,98,103,11
"622","LW",47,54,64,11
"622","LMC",52,59,69,11
"622","HG",68,78,88,11
"622","SB",103,109,,11
"622","MKT",50,56,67,11
"622","HYW",60,65,76,11
"627","LW",19,20,21,11
"627","LMC",24,25,26,11
"627","HG",40,44,49,11
"627","SB",76,78,80,11
"627","MKT",25,27,29,11
